PlayerName,Team,BirthDate,BirthCity,College,Height,Weight,PhotoUrl,Position,JerseyNo,ExperienceYear
Bismack Biyombo,CHA,8/28/1992,Lubumbashi,No College,81,255,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000758.png,C,8,7
Noah Vonleh,NYK,8/24/1995,Haverhill,Indiana,81,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000762.png,PF,32,4
Luol Deng,MIN,4/16/1985,Wau,Duke,81,237,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000770.png,SF,9,14
Dwyane Wade,MIA,1/17/1982,Chicago,Marquette,76,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000772.png,SG,3,15
Shabazz Napier,BKN,7/14/1991,Roxbury,Connecticut,73,180,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000775.png,PG,13,4
James Ennis III,HOU,7/1/1990,Ventura,Long Beach State,79,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000776.png,SF,8,4
Udonis Haslem,MIA,6/9/1980,Miami,Florida,80,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000780.png,PF,40,15
Carmelo Anthony,CHI,5/29/1984,Brooklyn,Syracuse,80,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000784.png,PF,7,15
Tim Hardaway Jr.,NYK,3/16/1992,Miami,Michigan,78,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000788.png,SF,3,5
Jason Smith,MIL,3/2/1986,Greeley,Colorado State,84,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000790.png,PF,20,10
Jose Calderon,DET,9/28/1981,Villanueva de la Serena,No College,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000794.png,PG,81,13
Andrew Wiggins,MIN,2/23/1995,Toronto,Kansas,80,194,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000795.png,SF,22,4
Ricky Rubio,UTA,10/21/1990,El Masnou,No College,76,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000797.png,PG,3,7
Gorgui Dieng,MIN,1/18/1990,Kebemer,Louisville,83,252,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000800.png,C,5,5
Zach LaVine,CHI,3/10/1995,Renton,UCLA,77,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000804.png,PG,8,4
Glenn Robinson III,DET,1/8/1994,Gary,Michigan,78,222,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000806.png,SG,22,4
Andre Drummond,DET,8/10/1993,Mount Vernon,Connecticut,83,279,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000810.png,C,0,6
Kentavious Caldwell-Pope,LAL,2/18/1993,Thomaston,Georgia,77,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000811.png,SG,1,5
D.J. Augustin,ORL,11/10/1987,New Orleans,Texas,72,183,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000813.png,PG,14,10
Spencer Dinwiddie,BKN,4/6/1993,Los Angeles,Colorado,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000816.png,PG,8,4
Greg Monroe,TOR,6/4/1990,New Orleans,Georgetown,83,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000818.png,C,15,8
Kenneth Faried,HOU,11/19/1989,Newark,Morehead State,80,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000821.png,PF,35,7
Danilo Gallinari,LAC,8/8/1988,Sant'Angelo Lodigiano,No College,82,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000822.png,SF,8,9
Wilson Chandler,PHI,5/10/1987,Benton Harbor,DePaul,81,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000824.png,SF,22,10
Jusuf Nurkic,POR,8/23/1994,Tuzla,No College,84,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000827.png,C,27,4
JaVale McGee,LAL,1/19/1988,Flint,Nevada,84,270,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000828.png,C,7,10
Gary Harris,DEN,9/14/1994,Fishers,Michigan State,76,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000832.png,SG,14,4
Gordon Hayward,BOS,3/23/1990,Brownsburg,Butler,80,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000833.png,SF,20,8
Derrick Favors,UTA,7/15/1991,Atlanta,Georgia Tech,82,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000834.png,PF,15,8
Enes Kanter,NYK,5/20/1992,Zurich,Kentucky,83,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000835.png,C,0,7
Trey Burke,NYK,11/12/1992,Columbus,Michigan,73,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000836.png,PG,23,5
Alec Burks,CLE,7/20/1991,Grandview,Colorado,78,214,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000837.png,SG,10,7
Rodney Hood,CLE,10/20/1992,Meridian,Duke,80,206,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000839.png,SG,1,4
Rudy Gobert,UTA,6/26/1992,Saint-Quentin,No College,85,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000840.png,C,27,5
Dante Exum,UTA,7/13/1995,Melbourne,No College,78,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000841.png,PG,11,3
Joe Ingles,UTA,10/2/1987,Happy Valley,No College,80,226,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000842.png,SF,2,4
Ian Clark,NOP,3/7/1991,Memphis,Belmont,75,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000843.png,SG,2,5
Marcus Morris,BOS,9/2/1989,Philadelphia,Kansas,81,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000847.png,PF,13,7
Markieff Morris,WAS,9/2/1989,Philadelphia,Kansas,82,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000848.png,PF,5,7
Goran Dragic,MIA,5/6/1986,Ljubljana,No College,75,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000849.png,PG,7,10
Eric Bledsoe,MIL,12/9/1989,Birmingham,Kentucky,73,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000850.png,PG,6,8
Gerald Green,HOU,1/26/1986,Houston,No College,79,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000851.png,SG,14,11
Alex Len,ATL,6/16/1993,Antratsit,Maryland,85,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000852.png,C,25,5
Anthony Tolliver,MIN,6/1/1985,Springfield,Creighton,80,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000854.png,PF,43,10
P.J. Tucker,HOU,5/5/1985,Raleigh,Texas,78,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000856.png,SF,17,7
T.J. Warren,PHO,9/5/1993,Durham,North Carolina State,80,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000858.png,SF,12,4
Rudy Gay,SAS,8/17/1986,Baltimore,Connecticut,80,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000860.png,SF,22,12
DeMarcus Cousins,GSW,8/13/1990,Mobile,Kentucky,83,270,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000862.png,C,0,8
Darren Collison,IND,8/23/1987,Rancho Cucamonga,UCLA,72,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000863.png,PG,2,9
Ben McLemore,SAC,2/11/1993,St. Louis,Kansas,77,201,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000864.png,SG,23,5
Nik Stauskas,POR,10/7/1993,Etobicoke,Michigan,78,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000865.png,SG,6,4
Omri Casspi,MEM,6/22/1988,Holon,No College,81,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000867.png,SF,18,9
Serge Ibaka,TOR,9/18/1989,Brazzaville,No College,82,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000874.png,PF,9,9
Steven Adams,OKC,7/20/1993,Rotorua,Pittsburgh,84,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000875.png,C,12,5
Andre Roberson,OKC,12/4/1991,Las Cruces,Colorado,79,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000876.png,SG,21,5
Russell Westbrook,OKC,11/12/1988,Long Beach,UCLA,75,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000877.png,PG,0,10
Lance Thomas,NYK,4/24/1988,Brooklyn,Duke,80,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000878.png,SF,42,7
Reggie Jackson,DET,4/16/1990,Pordenone,Boston College,75,208,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000881.png,PG,1,7
Jeremy Lamb,CHA,5/30/1992,Henrico,Connecticut,77,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000882.png,SG,3,6
Kevin Durant,GSW,9/29/1988,Washington,Texas,81,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000884.png,SF,35,11
Will Barton,DEN,1/6/1991,Baltimore,Memphis,78,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000887.png,SG,5,6
Dion Waiters,MIA,12/10/1991,Philadelphia,Syracuse,76,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000890.png,SG,11,6
Reggie Bullock,DET,3/16/1991,Kinston,North Carolina,79,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000896.png,SF,25,5
Kalin Lucas,DET,5/24/1989,Sterling Heights,Michigan State,73,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000900.png,PG,24,1
Ish Smith,DET,7/5/1988,Charlotte,Wake Forest,72,175,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000901.png,PG,14,8
Robert Covington,MIN,12/14/1990,Bellwood,Tennessee State,81,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000903.png,SF,33,5
Hassan Whiteside,MIA,6/13/1989,Gastonia,Marshall,84,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000904.png,C,21,6
Langston Galloway,DET,12/9/1991,Baton Rouge,Saint Joseph&#x27;s,74,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000912.png,SG,9,4
Tyler Johnson,MIA,5/7/1992,Grand Forks,Fresno State,76,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000916.png,SG,8,4
Michael Beasley,LAL,1/9/1989,Cheverly,Kansas State,81,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000928.png,SF,11,10
Seth Curry,POR,8/23/1990,Charlotte,Duke,74,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000933.png,SG,31,4
Richaun Holmes,PHO,10/15/1993,Lockport,Bowling Green,82,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001389.png,PF,21,3
Jahlil Okafor,NOP,12/15/1995,Chicago,Duke,83,275,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001391.png,C,8,3
Kelly Oubre Jr.,PHO,12/9/1995,New Orleans,Kansas,79,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001393.png,SF,3,3
Frank Kaminsky,CHA,4/4/1993,Lisle,Wisconsin,84,242,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001396.png,PF,44,3
Josh Richardson,MIA,9/15/1993,Edmond,Tennessee,78,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001400.png,SF,0,3
Justise Winslow,MIA,3/26/1996,Houston,Duke,79,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001401.png,SF,20,3
Mario Hezonja,NYK,2/25/1995,Dubrovnik,No College,80,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001403.png,SG,8,3
Jerian Grant,ORL,10/9/1992,Silver Spring,Notre Dame,76,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001404.png,PG,22,3
Willy Hernangomez,CHA,5/27/1994,Madrid,No College,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001405.png,C,41,2
Kristaps Porzingis,NYK,8/2/1995,Liepaja,No College,87,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001406.png,PF,6,3
Rondae Hollis-Jefferson,BKN,1/3/1995,Chester,Arizona,79,217,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001408.png,SF,24,3
R.J. Hunter,BOS,10/24/1993,Oxford,Georgia State,77,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001411.png,SG,28,3
Terry Rozier,BOS,3/17/1994,Youngstown,Louisville,73,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001413.png,PG,12,3
Norman Powell,TOR,5/25/1993,San Diego,UCLA,76,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001416.png,SF,24,3
Delon Wright,TOR,4/26/1992,Los Angeles,Utah,77,183,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001418.png,PG,55,3
Cristiano Felicio,CHI,7/7/1992,Pouso Alegre,No College,82,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001419.png,C,6,3
Bobby Portis,CHI,2/10/1995,Little Rock,Arkansas,83,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001420.png,PF,5,3
Cedi Osman,CLE,4/8/1995,Ohrid,No College,80,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001421.png,SF,16,1
Myles Turner,IND,3/24/1996,Bedford,Texas,83,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001424.png,C,33,3
Stanley Johnson,DET,5/29/1996,Fullerton,Arizona,79,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001427.png,SF,7,3
Nemanja Bjelica,SAC,5/9/1988,Belgrade,No College,82,234,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001429.png,PF,88,3
Tyus Jones,MIN,5/10/1996,Burnsville,Duke,74,196,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001430.png,PG,1,3
Karl-Anthony Towns,MIN,11/15/1995,Piscataway,Kentucky,84,248,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001431.png,C,32,3
Trey Lyles,DEN,11/5/1995,Saskatoon,Kentucky,82,234,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001433.png,PF,7,3
Raul Neto,UTA,5/19/1992,Belo Horizonte,No College,73,179,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001434.png,PG,25,3
Pat Connaughton,MIL,1/6/1993,Arlington,Notre Dame,76,209,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001438.png,SG,24,3
Nikola Jokic,DEN,2/19/1995,Sombor,No College,84,250,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001441.png,C,15,3
Emmanuel Mudiay,NYK,3/5/1996,Kinshasa,No College,77,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001442.png,PG,1,3
Jarell Martin,ORL,5/24/1994,Baton Rouge,LSU,82,239,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001445.png,PF,2,3
Sam Dekker,WAS,5/6/1994,Sheboygan,Wisconsin,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001446.png,SF,8,3
Montrezl Harrell,LAC,1/26/1994,Tarboro,Louisville,80,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001447.png,PF,5,3
Boban Marjanovic,LAC,8/15/1988,Zajecar,No College,87,290,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001449.png,C,51,3
Jonathon Simmons,ORL,9/14/1989,Houston,Houston,78,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001451.png,SF,17,3
Justin Anderson,ATL,11/19/1993,Montross,Virginia,78,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001452.png,SG,1,3
Kevon Looney,GSW,2/6/1996,Milwaukee,UCLA,81,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001455.png,SF,5,3
Larry Nance Jr.,CLE,1/1/1993,Akron,Wyoming,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001457.png,PF,22,3
D'Angelo Russell,BKN,2/23/1996,Louisville,Ohio State,77,198,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001458.png,PG,1,3
Devin Booker,PHO,10/30/1996,Grand Rapids,Kentucky,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001460.png,SG,1,3
Willie Cauley-Stein,SAC,8/18/1993,Olathe,Kentucky,84,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001461.png,C,0,3
Treveon Graham,BKN,10/28/1993,Washington,Virginia Commonwealth,77,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001470.png,SG,21,2
Salah Mejri,DAL,6/15/1986,Jendouba,No College,86,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001477.png,C,50,3
Brad Wanamaker,BOS,7/25/1989,Philadelphia,Pittsburgh,76,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001503.png,PG,9,1
T.J. McConnell,PHI,3/25/1992,Pittsburgh,Arizona,74,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001525.png,PG,12,3
Jordan McRae,WAS,3/28/1991,Hinesville,Tennessee,77,179,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001526.png,SG,52,2
Christian Wood,MIL,9/27/1995,Long Beach,UNLV,82,214,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001527.png,PF,35,2
Deonte Burton,OKC,1/31/1994,Los Angeles,Iowa State,77,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001567.png,PG,30,0
Quinn Cook,GSW,3/23/1993,Washington,Duke,74,179,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001573.png,PG,4,2
Julian Washburn,MEM,11/26/1989,Dallas,UTEP,80,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,SF,0,0
,MEM,12/18/1991,Amarillo,UTEP,80,209,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/0.png,SF,4,0
Dario Saric,MIN,4/8/1994,Sibenik,No College,82,223,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001597.png,PF,36,2
Rodney McGruder,MIA,7/29/1991,Landover,Kansas State,76,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001623.png,SG,17,2
Khem Birch,ORL,9/28/1992,No record,UNLV,81,233,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001630.png,C,24,1
Alan Williams,BKN,1/28/1993,Phoenix,UC Santa Barbara,80,265,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001645.png,PF,15,3
Ben Simmons,PHI,7/20/1996,Melbourne,LSU,82,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001661.png,PG,25,1
Jamal Murray,DEN,2/23/1997,Kitchener,Kentucky,76,207,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001666.png,PG,27,2
Thon Maker,MIL,2/25/1997,Sydney,No College,85,221,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001667.png,C,7,2
Davis Bertans,SAS,11/12/1992,Valmiera,No College,82,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001668.png,SF,42,2
Dragan Bender,PHO,11/17/1997,Capljina,No College,85,225,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001669.png,PF,35,2
Kris Dunn,CHI,3/18/1994,New London,Providence,76,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001670.png,PG,32,2
Brandon Ingram,LAL,9/2/1997,Kinston,Duke,81,190,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001671.png,SF,14,2
Jaylen Brown,BOS,10/24/1996,Marietta,California,79,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001672.png,SG,7,2
Buddy Hield,SAC,12/17/1992,Freeport,Oklahoma,76,214,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001673.png,SG,24,2
Marquese Chriss,HOU,7/2/1997,Sacramento,Washington,82,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001674.png,PF,0,2
Skal Labissiere,SAC,3/18/1996,No record,Kentucky,83,235,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001675.png,PF,7,2
Wade Baldwin IV,POR,3/29/1996,Belle Mead,Vanderbilt,76,200,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001677.png,PG,2,2
Malik Beasley,DEN,11/26/1996,Atlanta,Florida State,77,195,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001678.png,SG,25,2
Dejounte Murray,SAS,9/19/1996,Seattle,Washington,77,170,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001679.png,PG,5,2
Taurean Prince,ATL,3/22/1994,San Marcos,Baylor,80,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001680.png,SF,12,2
Henry Ellenson,DET,1/13/1997,Rice Lake,Marquette,83,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001681.png,PF,8,2
Patrick McCaw,TOR,10/25/1995,St. Louis,UNLV,79,185,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001682.png,SG,1,2
Domantas Sabonis,IND,5/3/1996,Portland,Gonzaga,83,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001683.png,C,11,2
Jakob Poeltl,SAS,10/15/1995,Vienna,Utah,84,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001687.png,C,25,2
Damian Jones,GSW,6/30/1995,Baton Rouge,Vanderbilt,84,245,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001689.png,C,15,2
DeAndre' Bembry,ATL,7/4/1994,Charlotte,Saint Joseph&#x27;s,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001690.png,SF,95,2
Timothe Luwawu-Cabarrot,OKC,5/9/1995,Cannes,No College,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001692.png,SG,7,2
Denzel Valentine,CHI,11/16/1993,Lansing,Michigan State,78,210,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001693.png,SF,45,2
Ivica Zubac,LAL,3/18/1997,Mostar,No College,85,240,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001694.png,C,40,2
Ante Zizic,CLE,1/4/1997,Split,No College,83,254,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001695.png,PF,41,1
Juancho Hernangomez,DEN,9/28/1995,Madrid,No College,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001697.png,PF,41,2
Cheick Diallo,NOP,9/13/1996,Kayes,Kansas,81,220,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001698.png,PF,13,2
Malachi Richardson,TOR,1/5/1996,Trenton,Syracuse,78,205,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001699.png,SG,22,2
Malcolm Brogdon,MIL,12/11/1992,Norcross,Virginia,77,229,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001701.png,PG,13,2
Isaiah Whitehead,DET,3/8/1995,Brooklyn,Seton Hall,76,213,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001703.png,SG,15,2
Jake Layman,POR,3/7/1994,Wrentham,Maryland,81,215,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001706.png,SF,10,2
Caris LeVert,BKN,8/25/1994,Columbus,Michigan,79,204,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001707.png,SG,22,2
Georges Niang,UTA,6/17/1993,Lawrence,Iowa State,80,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001708.png,SF,31,2
Pascal Siakam,TOR,4/2/1994,Douala,New Mexico State,81,230,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001710.png,PF,43,2
Guerschon Yabusele,BOS,12/17/1995,Dreux,No College,80,260,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001717.png,PF,30,1
